,order_id,order_date,customer_id,product_id,store_id,sales_channel,quantity,unit_price,discount_pct,total_amount,cost_price,profit
29,O00029,2024-07-12,C0540,P0579,UNKNOWN,Online,1,137.64,0.05,130.76,74.19,56.56999999999999
30,O00030,2024-10-21,C0561,P0806,UNKNOWN,Online,1,38.24,0.1,34.42,24.55,9.870000000000001
31,O00031,2024-02-18,C0594,P0110,S045,In-Store,3,280.19,0.1,756.51,170.81,244.07999999999993
32,O00032,2025-01-27,C0167,P1182,UNKNOWN,Online,1,275.08,0.2,220.06,167.92,52.140000000000015
33,O00033,2024-06-19,C0148,P0429,UNKNOWN,Online,1,257.83,0.05,244.94,138.39,106.55000000000001
34,O00034,2024-06-04,C0009,P0741,S036,In-Store,2,25.86,0.0,51.72,13.55,24.619999999999997
35,O00035,2023-09-14,C0151,P0771,S027,In-Store,1,155.11,0.05,147.35,81.54,65.80999999999999
36,O00036,2023-12-14,C0098,P0728,S011,In-Store,3,242.37,0.0,727.11,152.25,270.36
37,O00037,2024-06-14,C0527,P0693,S009,In-Store,2,147.47,0.2,235.95,132.72,-29.49000000000001
38,O00038,2024-11-26,C0121,P0493,S019,In-Store,2,178.11,0.05,338.41,108.79,120.83000000000001
39,O00039,2024-08-18,C0384,P0183,S055,In-Store,1,304.66,0.2,243.73,181.16,62.56999999999999
40,O00040,2023-04-19,C0668,P0911,S007,In-Store,3,298.36,0.0,895.08,154.31,432.15000000000003
41,O00041,2023-12-30,C0500,P1043,UNKNOWN,Online,2,321.82,0.2,514.91,198.11,118.68999999999994
42,O00042,2024-01-13,C0763,P0193,S011,In-Store,1,62.96,0.2,50.37,32.26,18.11
43,O00043,2024-05-28,C0660,P0888,UNKNOWN,Online,2,99.91,0.05,189.83,50.37,89.09000000000002
44,O00044,2023-12-09,C0065,P1100,UNKNOWN,Online,1,74.54,0.0,74.54,42.65,31.890000000000008
45,O00045,2024-05-10,C0549,P1085,S033,In-Store,2,42.67,0.0,85.34,36.58,12.180000000000007
46,O00046,2025-02-09,C0212,P0240,UNKNOWN,Online,10,85.49,0.05,812.2,52.45,287.70000000000005
47,O00047,2023-08-01,C0457,P0643,UNKNOWN,Online,1,252.43,0.05,239.81,137.05,102.75999999999999
48,O00048,2024-08-29,C0668,P0330,UNKNOWN,Online,1,355.55,0.1,320.0,189.35,130.65
49,O00049,2024-05-02,C0035,P0173,S032,In-Store,3,209.18,0.1,564.79,115.36,218.70999999999998
50,O00050,2023-07-13,C0557,P0351,S017,In-Store,1,170.33,0.0,170.33,106.14,64.19000000000001
51,O00051,2024-07-05,C0047,P1063,S018,In-Store,3,71.55,0.2,171.72,60.93,-11.069999999999993
52,O00052,2023-06-07,C0502,P0640,S022,In-Store,1,215.37,0.05,204.6,131.24,73.35999999999999
53,O00053,2023-10-19,C0678,P0091,UNKNOWN,Online,1,27.29,0.05,25.93,20.11,5.82
54,O00054,2023-07-20,C0220,P0274,S013,In-Store,1,285.95,0.1,257.36,198.93,58.43000000000001
55,O00055,2023-05-12,C0746,P0864,UNKNOWN,Online,3,113.48,0.1,306.4,63.42,116.13999999999999
56,O00056,2023-05-27,C0665,P0334,S005,In-Store,1,135.83,0.1,122.25,118.75,3.5
57,O00057,2024-03-30,C0711,P0293,S004,In-Store,1,259.84,0.1,233.86,179.45,54.410000000000025
58,O00058,2023-08-24,C0713,P0394,S036,In-Store,2,219.0,0.05,416.1,165.56,84.98000000000002
59,O00059,2023-11-06,C0157,P0647,S027,In-Store,2,139.35,0.2,222.96,105.87,11.219999999999999
60,O00060,2024-04-19,C0618,P0506,UNKNOWN,Online,3,76.44,0.0,229.32,44.45,95.96999999999997
61,O00061,2025-01-03,C0700,P1123,S021,In-Store,3,75.06,0.0,225.18,58.9,48.48000000000002
62,O00062,2024-03-09,C0341,P0559,UNKNOWN,Online,1,286.97,0.05,272.62,166.15,106.47
63,O00063,2023-06-22,C0100,P0772,S014,In-Store,1,121.36,0.2,97.09,102.72,-5.6299999999999955
64,O00064,2023-08-20,C0596,P0252,UNKNOWN,Online,1,231.15,0.1,208.03,196.57,11.460000000000008
65,O00065,2023-07-17,C0501,P0195,S044,In-Store,2,151.18,0.1,272.12,77.35,117.42000000000002
66,O00066,2023-11-01,C0622,P0202,S010,In-Store,1,218.6,0.1,196.74,119.34,77.4
67,O00067,2025-02-04,C0398,P0370,S047,In-Store,1,106.39,0.2,85.11,58.2,26.909999999999997
68,O00068,2024-06-12,C0130,P0530,UNKNOWN,Online,2,274.32,0.05,521.21,147.34,226.53000000000003
69,O00069,2025-02-13,C0146,P0775,S017,In-Store,1,22.99,0.0,22.99,12.88,10.109999999999998
70,O00070,2025-02-22,C0654,P0758,S015,In-Store,2,218.78,0.2,350.05,135.84,78.37
71,O00071,2023-07-12,C0187,P0898,S051,In-Store,1,204.25,0.2,163.4,167.86,-4.460000000000008
72,O00072,2023-05-01,C0282,P0876,S045,In-Store,1,181.91,0.05,172.81,156.25,16.560000000000002
73,O00073,2024-05-04,C0089,P0625,S020,In-Store,1,249.56,0.0,249.56,178.47,71.09
74,O00074,2024-11-24,C0078,P0491,S010,In-Store,2,205.2,0.0,410.4,156.25,97.89999999999998
75,O00075,2023-12-14,C0292,P1134,S051,In-Store,3,40.51,0.0,121.53,26.67,41.519999999999996
76,O00076,2023-10-29,C0434,P1041,S008,In-Store,1,127.15,0.2,101.72,93.33,8.39
77,O00077,2024-09-09,C0701,P1090,S025,In-Store,1,32.87,0.0,32.87,18.73,14.139999999999997
78,O00078,2024-06-02,C0763,P0014,UNKNOWN,In-Store,1,34.42,0.1,30.98,17.91,13.07
79,O00079,2024-01-06,C0756,P1081,S002,In-Store,1,26.3,0.2,21.04,16.09,4.949999999999999
80,O00080,2023-10-22,C0690,P1072,S011,In-Store,1,200.65,0.0,200.65,138.28,62.370000000000005
81,O00081,2024-03-11,C0136,P1052,S003,In-Store,1,190.93,0.2,152.74,126.53,26.210000000000008
82,O00082,2024-05-13,C0174,P0764,S021,In-Store,1,241.25,0.05,229.19,143.88,85.31
83,O00083,2023-06-05,C0784,P0241,UNKNOWN,Online,1,195.47,0.2,156.38,150.43,5.949999999999989
84,O00084,2024-11-05,C0218,P0004,S036,In-Store,2,88.47,0.2,141.55,71.35,-1.1499999999999773
85,O00085,2024-03-15,C0312,P1055,S002,In-Store,2,200.83,0.2,321.33,115.79,89.74999999999997
86,O00086,2023-06-20,C0499,P0117,S039,In-Store,1,197.56,0.2,158.05,116.12,41.93000000000001
87,O00087,2023-09-12,C0362,P0219,UNKNOWN,Online,2,125.63,0.05,238.7,73.95,90.79999999999998
88,O00088,2024-05-31,C0009,P0207,S012,In-Store,1,176.19,0.0,176.19,97.87,78.32
89,O00089,2023-05-04,C0157,P0841,UNKNOWN,Online,10,101.01,0.2,808.1,53.94,268.70000000000005
90,O00090,2024-09-19,C0787,P0512,UNKNOWN,Online,3,258.13,0.2,619.51,140.64,197.59000000000003
91,O00091,2023-08-26,C0373,P0877,S034,In-Store,3,238.06,0.1,642.76,179.66,103.77999999999997
92,O00092,2024-03-01,C0449,P0899,UNKNOWN,Online,1,118.47,0.1,106.62,99.65,6.969999999999999
93,O00093,2024-03-18,C0005,P0735,S045,In-Store,2,196.86,0.05,374.03,158.32,57.389999999999986
94,O00094,2024-11-25,C0291,P0082,UNKNOWN,Online,2,177.36,0.2,283.78,136.2,11.379999999999995
95,O00095,2024-02-27,C0032,P0328,S017,In-Store,1,126.04,0.2,100.83,105.42,-4.590000000000003
96,O00096,2024-04-14,C0272,P0243,S035,In-Store,2,62.91,0.2,100.66,51.07,-1.480000000000004
97,O00097,2025-02-15,C0731,P0260,S048,In-Store,3,116.29,0.2,279.1,104.16,-33.379999999999995
98,O00098,2023-05-30,C0759,P0796,UNKNOWN,Online,1,87.96,0.0,87.96,77.22,10.739999999999995
99,O00099,2024-09-06,C0129,P0318,S000,In-Store,1,80.1,0.05,76.09,64.3,11.790000000000006
100,O00100,2024-02-29,C0350,P0879,S047,In-Store,3,168.21,0.0,504.63,148.84,58.110000000000014
101,O00101,2024-12-17,C0296,P0577,S048,In-Store,2,309.01,0.2,494.42,154.53,185.36
102,O00102,2024-09-21,C0156,P1047,UNKNOWN,Online,2,126.31,0.1,227.36,79.41,68.54000000000002
103,O00103,2025-01-13,C0269,P0506,S027,In-Store,2,76.44,0.05,145.24,44.45,56.34
104,O00104,2024-12-04,C0596,P0211,S032,In-Store,2,143.29,0.05,272.25,123.62,25.00999999999999
105,O00105,2023-07-25,C0605,P0304,UNKNOWN,Online,1,138.55,0.05,131.62,77.54,54.08
106,O00106,2024-08-19,C0280,P0393,S027,In-Store,3,301.95,0.0,905.85,152.45,448.50000000000006
107,O00107,2024-12-19,C0093,P0104,S033,In-Store,3,237.61,0.1,641.55,131.78,246.20999999999992
108,O00108,2023-07-16,C0236,P0454,S030,In-Store,1,57.81,0.0,57.81,39.64,18.17
109,O00109,2023-05-01,C0659,P0105,S017,In-Store,1,49.07,0.1,44.16,43.88,0.27999999999999403
110,O00110,2023-10-16,C0359,P0856,UNKNOWN,Online,1,72.18,0.0,72.18,53.24,18.940000000000005
111,O00111,2024-06-23,C0000,P0106,S020,In-Store,2,117.1,0.05,222.49,97.34,27.810000000000002
112,O00112,2024-09-12,C0286,P0206,UNKNOWN,In-Store,2,44.72,0.2,71.55,38.98,-6.409999999999997
113,O00113,2024-05-11,C0311,P0228,UNKNOWN,Online,1,59.1,0.0,59.1,35.69,23.410000000000004
114,O00114,2025-03-26,C0788,P0266,S047,In-Store,3,273.92,0.1,739.58,151.72,284.4200000000001
115,O00115,2025-02-03,C0603,P1083,S015,In-Store,1,186.78,0.1,168.1,140.65,27.44999999999999
116,O00116,2024-09-07,C0393,P0178,S008,In-Store,2,129.07,0.0,258.14,94.08,69.97999999999999
117,O00117,2024-09-09,C0670,P0390,UNKNOWN,Online,1,178.02,0.2,142.42,92.46,49.959999999999994
118,O00118,2024-06-14,C0076,P1119,S019,In-Store,1,64.93,0.2,51.94,51.65,0.28999999999999915
119,O00119,2024-08-13,C0206,P1092,S002,In-Store,1,48.28,0.05,45.87,34.56,11.309999999999995
120,O00120,2023-12-29,C0563,P0517,S048,In-Store,2,203.43,0.1,366.17,172.69,20.79000000000002
121,O00121,2025-03-01,C0459,P0240,S004,In-Store,1,85.49,0.2,68.39,52.45,15.939999999999998
122,O00122,2023-07-03,C0515,P0044,UNKNOWN,Online,1,22.6,0.1,20.34,14.78,5.5600000000000005
123,O00123,2024-06-24,C0132,P0593,UNKNOWN,Online,2,71.58,0.0,143.16,37.74,67.67999999999999
124,O00124,2023-11-16,C0710,P0389,S025,In-Store,1,277.24,0.2,221.79,154.95,66.84
125,O00125,2024-05-25,C0525,P0153,UNKNOWN,Online,1,56.67,0.2,45.34,28.68,16.660000000000004
126,O00126,2024-04-19,C0399,P0820,S013,In-Store,30,310.73,0.05,8855.800000000001,193.38,3054.4000000000015
127,O00127,2023-08-13,C0585,P0446,S000,In-Store,3,89.71,0.2,215.3,61.91,29.57000000000002
128,O00128,2023-08-16,C0737,P1075,UNKNOWN,Online,1,285.01,0.05,270.76,191.46,79.29999999999998
129,O00129,2024-02-24,C0274,P1130,UNKNOWN,Online,2,208.54,0.05,396.23,178.82,38.59000000000003
130,O00130,2023-05-03,C0243,P0597,UNKNOWN,Online,1,105.66,0.05,100.38,73.49,26.89
131,O00131,2024-05-15,C0284,P0272,UNKNOWN,Online,2,43.92,0.0,87.84,22.88,42.080000000000005
132,O00132,2024-01-28,C0254,P0430,S000,In-Store,2,126.13,0.1,227.03,78.96,69.11000000000001
133,O00133,2023-04-14,C0377,P0664,UNKNOWN,Online,1,191.74,0.1,172.57,109.09,63.47999999999999
134,O00134,2025-01-16,C0418,P0603,S003,In-Store,1,31.8,0.0,31.8,24.75,7.050000000000001
135,O00135,2023-05-07,C0224,P0572,UNKNOWN,Online,1,271.22,0.0,271.22,177.14,94.08000000000004
136,O00136,2024-04-28,C0796,P1194,UNKNOWN,Online,1,50.75,0.2,40.6,33.5,7.100000000000001
137,O00137,2025-01-10,C0263,P1128,UNKNOWN,Online,1,153.7,0.2,122.96,86.72,36.239999999999995
138,O00138,2024-12-25,C0275,P0417,S051,In-Store,1,56.54,0.2,45.23,43.26,1.9699999999999989
139,O00139,2024-01-17,C0237,P0888,S057,In-Store,1,99.91,0.2,79.93,50.37,29.56000000000001
140,O00140,2023-10-05,C0185,P0940,UNKNOWN,Online,2,21.41,0.05,40.68,16.72,7.240000000000002
141,O00141,2024-07-10,C0502,P0369,S001,In-Store,3,314.41,0.1,848.91,197.87,255.29999999999995
142,O00142,2023-06-01,C0181,P0807,S012,In-Store,1,135.25,0.0,135.25,80.88,54.370000000000005
143,O00143,2023-04-23,C0436,P0502,S041,In-Store,2,256.28,0.2,410.05,165.85,78.35000000000002
144,O00144,2023-05-03,C0539,P0281,S051,In-Store,2,197.67,0.0,395.34,145.12,105.09999999999997
145,O00145,2025-03-22,C0386,P0786,UNKNOWN,Online,2,21.67,0.0,43.34,13.41,16.520000000000003
146,O00146,2024-10-21,C0659,P0089,UNKNOWN,Online,2,229.1,0.0,458.2,150.01,158.18
147,O00147,2023-12-24,C0642,P0027,S000,In-Store,2,236.79,0.0,473.58,189.64,94.30000000000001
148,O00148,2024-05-22,C0346,P0174,UNKNOWN,Online,2,178.88,0.2,286.21,123.85,38.50999999999999
149,O00149,2023-06-14,C0454,P0334,S030,In-Store,1,135.83,0.05,129.04,118.75,10.289999999999992
150,O00150,2023-06-30,C0556,P0547,S007,In-Store,2,235.33,0.0,470.66,147.83,175.0
151,O00151,2025-01-27,C0105,P1115,UNKNOWN,Online,2,265.8,0.2,425.28,159.26,106.75999999999999
152,O00152,2024-02-18,C0229,P0049,UNKNOWN,Online,1,186.29,0.2,149.03,135.98,13.050000000000011
153,O00153,2024-04-28,C0671,P0587,UNKNOWN,Online,2,78.06,0.2,124.9,63.84,-2.780000000000001
154,O00154,2024-06-27,C0732,P0230,S007,In-Store,2,73.43,0.05,139.52,47.04,45.44000000000001
155,O00155,2023-09-26,C0288,P0731,UNKNOWN,Online,1,138.18,0.1,124.36,113.54,10.819999999999993
156,O00156,2024-01-29,C0086,P0088,S011,In-Store,3,361.93,0.2,868.63,190.26,297.85
157,O00157,2023-06-09,C0614,P0371,S009,In-Store,4,229.56,0.1,826.42,131.42,300.74
158,O00158,2024-09-03,C0293,P0713,S017,In-Store,1,175.75,0.2,140.6,139.9,0.6999999999999886
159,O00159,2023-07-20,C0271,P0156,S055,In-Store,1,140.3,0.05,133.28,104.23,29.049999999999997
160,O00160,2023-09-30,C0150,P0655,UNKNOWN,Online,2,25.85,0.2,41.36,15.47,10.419999999999998
161,O00161,2023-04-16,C0526,P0979,S007,In-Store,2,117.11,0.2,187.38,65.36,56.66
162,O00162,2024-12-12,C0285,P0296,UNKNOWN,Online,1,34.89,0.05,33.15,25.01,8.139999999999997
163,O00163,2024-08-26,C0394,P0722,S027,In-Store,3,17.67,0.2,42.41,15.35,-3.6400000000000006
164,O00164,2025-01-22,C0423,P0682,UNKNOWN,Online,1,197.42,0.05,187.55,130.65,56.900000000000006
165,O00165,2025-03-27,C0562,P1018,S031,In-Store,2,167.01,0.05,317.32,129.58,58.15999999999997
166,O00166,2023-07-14,C0594,P0863,S049,In-Store,1,109.7,0.05,104.22,72.06,32.16
167,O00167,2024-07-15,C0240,P0740,UNKNOWN,Online,3,149.47,0.0,448.41,110.35,117.36000000000007
168,O00168,2023-09-29,C0485,P0273,S003,In-Store,3,125.14,0.1,337.88,85.9,80.17999999999995
169,O00169,2025-01-02,C0797,P0285,UNKNOWN,Online,1,86.63,0.05,82.3,74.63,7.670000000000002
170,O00170,2024-07-18,C0564,P0862,UNKNOWN,Online,1,105.88,0.05,100.59,85.38,15.210000000000008
171,O00171,2025-04-09,C0141,P0240,S045,In-Store,2,85.49,0.05,162.43,52.45,57.53
172,O00172,2023-07-05,C0026,P0869,S044,In-Store,1,216.72,0.0,216.72,171.43,45.28999999999999
173,O00173,2025-01-08,C0075,P0976,S055,In-Store,1,290.2,0.05,275.69,146.74,128.95
174,O00174,2024-08-04,C0374,P0289,UNKNOWN,Online,2,17.32,0.0,34.64,13.54,7.560000000000002
175,O00175,2024-12-12,C0426,P0306,S030,In-Store,1,148.17,0.05,140.76,102.31,38.44999999999999
176,O00176,2024-10-19,C0715,P0613,S046,In-Store,1,316.84,0.1,285.16,194.29,90.87000000000003
177,O00177,2024-09-22,C0660,P0027,UNKNOWN,Online,1,236.79,0.05,224.95,189.64,35.31
178,O00178,2025-03-21,C0657,P0065,S011,In-Store,1,103.15,0.05,97.99,57.03,40.959999999999994
179,O00179,2023-11-11,C0433,P0930,S053,In-Store,3,201.43,0.1,543.86,135.99,135.89
180,O00180,2024-08-15,C0513,P0626,S027,In-Store,1,352.02,0.05,334.42,184.56,149.86
181,O00181,2023-05-09,C0094,P1068,S017,In-Store,2,222.82,0.05,423.36,121.13,181.10000000000002
182,O00182,2024-04-07,C0410,P0114,UNKNOWN,Online,1,291.58,0.05,277.0,148.09,128.91
183,O00183,2025-03-24,C0572,P0158,S029,In-Store,1,106.61,0.2,85.29,58.87,26.42000000000001
184,O00184,2024-09-02,C0657,P0829,S010,In-Store,2,244.31,0.0,488.62,170.36,147.89999999999998
185,O00185,2024-04-15,C0662,P0868,UNKNOWN,Online,2,207.53,0.0,415.06,131.45,152.16000000000003
186,O00186,2023-06-15,C0371,P0687,UNKNOWN,Online,2,207.29,0.1,373.12,163.92,45.28000000000003
187,O00187,2024-12-12,C0109,P0133,UNKNOWN,Online,2,50.24,0.0,100.48,28.1,44.28
188,O00188,2023-08-18,C0316,P0384,S040,In-Store,1,35.44,0.0,35.44,22.73,12.709999999999997
189,O00189,2024-11-15,C0087,P1167,S036,In-Store,1,55.44,0.2,44.35,27.8,16.55
190,O00190,2023-10-09,C0322,P0190,S000,In-Store,1,232.24,0.1,209.02,136.2,72.82000000000002
191,O00191,2024-02-09,C0407,P1024,UNKNOWN,Online,1,22.98,0.2,18.38,15.49,2.889999999999999
192,O00192,2024-09-16,C0132,P0199,S057,In-Store,4,115.92,0.0,463.68,58.8,228.48000000000002
193,O00193,2023-10-08,C0793,P0307,UNKNOWN,Online,3,184.0,0.2,441.6,142.29,14.730000000000018
194,O00194,2024-04-27,C0038,P0594,UNKNOWN,Online,1,9.3,0.2,7.44,7.22,0.22000000000000064
195,O00195,2023-12-03,C0640,P0191,S014,In-Store,1,208.21,0.05,197.8,136.59,61.21000000000001
196,O00196,2023-07-10,C0669,P0288,S010,In-Store,2,281.92,0.1,507.46,144.63,218.2
197,O00197,2025-02-18,C0134,P0694,UNKNOWN,Online,2,156.82,0.2,250.91,89.41,72.09
198,O00198,2024-03-04,C0729,P0793,UNKNOWN,Online,2,273.34,0.0,546.68,166.17,214.33999999999997
199,O00199,2025-01-03,C0580,P1018,UNKNOWN,Online,1,167.01,0.0,167.01,129.58,37.42999999999998
200,O00200,2025-02-01,C0316,P1120,S051,In-Store,1,146.64,0.0,146.64,124.35,22.289999999999992
201,O00201,2023-10-11,C0465,P0642,UNKNOWN,Online,2,258.83,0.1,465.89,171.06,123.76999999999998
202,O00202,2024-09-09,C0286,P1180,S005,In-Store,2,89.37,0.0,178.74,47.06,84.62
203,O00203,2024-06-05,C0790,P0943,UNKNOWN,Online,1,181.12,0.2,144.9,104.17,40.730000000000004
204,O00204,2023-12-11,C0781,P0905,S008,In-Store,1,138.07,0.0,138.07,108.67,29.39999999999999
205,O00205,2024-10-14,C0499,P0081,S018,In-Store,1,102.43,0.2,81.94,60.34,21.599999999999994
206,O00206,2024-08-26,C0634,P0264,S032,In-Store,2,69.39,0.1,124.9,40.26,44.38000000000001
207,O00207,2024-03-27,C0698,P0846,S016,In-Store,4,257.54,0.0,1030.16,178.48,316.2400000000001
208,O00208,2024-12-09,C0659,P0116,S015,In-Store,2,196.71,0.0,393.42,166.99,59.44
209,O00209,2024-08-06,C0107,P0595,S036,In-Store,1,277.06,0.2,221.65,158.47,63.18000000000001
210,O00210,2024-10-29,C0228,P0795,S042,In-Store,2,255.38,0.0,510.76,133.58,243.59999999999997
211,O00211,2023-10-07,C0479,P1095,S029,In-Store,2,96.11,0.0,192.22,70.02,52.18000000000001
212,O00212,2023-08-05,C0749,P0221,S059,In-Store,2,58.35,0.2,93.36,48.73,-4.099999999999994
213,O00213,2023-12-07,C0204,P0822,S020,In-Store,2,79.83,0.1,143.69,55.27,33.14999999999999
214,O00214,2024-12-31,C0497,P0435,S030,In-Store,4,254.88,0.0,1019.52,186.13,275.0
215,O00215,2023-11-30,C0039,P1116,UNKNOWN,Online,1,207.01,0.2,165.61,176.53,-10.919999999999987
216,O00216,2023-06-28,C0218,P0655,S038,In-Store,2,25.85,0.2,41.36,15.47,10.419999999999998
217,O00217,2024-11-24,C0370,P0880,S013,In-Store,1,166.53,0.0,166.53,97.2,69.33
218,O00218,2025-02-16,C0023,P0866,UNKNOWN,Online,2,64.96,0.05,123.42,36.84,49.739999999999995
219,O00219,2023-11-20,C0070,P0560,S019,In-Store,1,59.02,0.2,47.22,33.92,13.299999999999997
220,O00220,2024-05-20,C0537,P0438,S016,In-Store,1,270.3,0.05,256.79,193.94,62.85000000000002
221,O00221,2024-01-19,C0094,P0877,S048,In-Store,1,238.06,0.1,214.25,179.66,34.59
222,O00222,2024-12-01,C0357,P0858,S034,In-Store,2,309.56,0.05,588.16,195.12,197.91999999999996
223,O00223,2025-03-18,C0447,P0726,S036,In-Store,2,268.98,0.2,430.37,185.66,59.05000000000001
224,O00224,2024-07-20,C0574,P1016,UNKNOWN,Online,1,321.0,0.05,304.95,186.81,118.13999999999999
225,O00225,2024-11-21,C0751,P0648,UNKNOWN,Online,2,240.95,0.2,385.52,137.75,110.01999999999998
226,O00226,2023-10-05,C0511,P0648,UNKNOWN,Online,1,240.95,0.2,192.76,137.75,55.00999999999999
227,O00227,2023-06-04,C0739,P0007,S017,In-Store,1,276.22,0.05,262.41,166.73,95.68000000000004
228,O00228,2025-01-15,C0654,P1184,UNKNOWN,Online,1,32.67,0.05,31.04,22.25,8.79
229,O00229,2024-08-30,C0192,P0860,S049,In-Store,1,179.4,0.05,170.43,107.07,63.360000000000014
230,O00230,2023-11-02,C0221,P0712,UNKNOWN,Online,4,124.0,0.05,471.2,108.42,37.51999999999998
231,O00231,2025-04-03,C0590,P0029,S023,In-Store,2,37.24,0.0,74.48,28.6,17.28
232,O00232,2024-04-03,C0314,P1028,S007,In-Store,1,233.27,0.2,186.62,189.75,-3.1299999999999955
233,O00233,2023-08-28,C0466,P0847,S022,In-Store,1,292.23,0.2,233.78,174.31,59.47
234,O00234,2024-11-29,C0783,P0687,UNKNOWN,Online,3,207.29,0.05,590.78,163.92,99.01999999999998
235,O00235,2025-01-03,C0382,P0362,S010,In-Store,4,149.41,0.2,478.11,85.59,135.75
236,O00236,2024-11-19,C0675,P0895,S044,In-Store,1,205.55,0.0,205.55,156.32,49.23000000000002
237,O00237,2024-02-15,C0106,P0183,S039,In-Store,1,304.66,0.2,243.73,181.16,62.56999999999999
238,O00238,2025-04-09,C0767,P1115,UNKNOWN,Online,3,265.8,0.2,637.92,159.26,160.14
239,O00239,2024-02-02,C0033,P0593,S013,In-Store,2,71.58,0.05,136.0,37.74,60.519999999999996
240,O00240,2024-07-09,C0564,P0780,UNKNOWN,Online,1,253.19,0.2,202.55,194.67,7.880000000000024
241,O00241,2025-03-04,C0359,P0950,S052,In-Store,20,182.2,0.2,2915.2,106.54,784.3999999999996
242,O00242,2024-04-10,C0383,P0458,S017,In-Store,1,296.72,0.1,267.05,160.55,106.5
243,O00243,2025-02-14,C0480,P0849,S000,In-Store,2,111.61,0.2,178.58,66.13,46.32000000000002
244,O00244,2023-07-04,C0026,P0314,S053,In-Store,2,144.23,0.1,259.61,82.64,94.33000000000001
245,O00245,2023-06-27,C0585,P0880,UNKNOWN,Online,2,166.53,0.2,266.45,97.2,72.04999999999998
246,O00246,2024-07-14,C0659,P0805,S051,In-Store,1,290.78,0.2,232.62,171.72,60.900000000000006
247,O00247,2024-01-01,C0651,P0799,UNKNOWN,In-Store,2,61.07,0.2,97.71,55.27,-12.830000000000013
248,O00248,2024-11-12,C0529,P0324,S006,In-Store,1,96.35,0.05,91.53,52.75,38.78
249,O00249,2024-09-16,C0646,P1181,S053,In-Store,2,64.84,0.1,116.71,36.94,42.83
